x, y
0,1.000000
0.1,1.656050
0.2,0.978464
0.3,-0.662592
0.4,-1.893824
0.5,-1.641997
0.6,-0.178719
0.7,1.174681
0.8,1.360483
0.9,0.542323
1,-0.246088
1.1,-0.296274
1.2,0.072785
1.3,0.039050
1.4,-0.627308
1.5,-1.187322
1.6,-0.745840
1.7,0.637071
1.8,1.813108
1.9,1.629907
2,0.127886
2.1,-1.428772
2.2,-1.756209
2.3,-0.757653
2.4,0.493607
2.5,0.918680
2.6,0.476413
2.7,0.009241
2.8,0.153671
2.9,0.585450
3,0.452183
3.1,-0.516191
3.2,-1.516761
3.3,-1.430988
3.4,-0.058859
3.5,1.524384
3.6,1.943752
3.7,0.860057
3.8,-0.715435
3.9,-1.444757
4,-0.944904
4.1,-0.011667
4.2,0.367377
4.3,0.076918
4.4,-0.140655
4.5,0.303583
4.6,1.036356
4.7,1.077343
4.8,-0.005083
4.9,-1.440229
5,-1.903447
5.1,-0.849105
5.2,0.874601
5.3,1.809584
5.4,1.281117
5.5,-0.028038
5.6,-0.873255
5.7,-0.720690
5.8,-0.147334
5.9,-0.017515
6,-0.426536
6.1,-0.618423
6.2,0.042616
6.3,1.176990
6.4,1.643326
6.5,0.739544
6.6,-0.939382
6.7,-1.966933
6.8,-1.451960
6.9,0.096465
7,1.300113
7.1,1.270103
7.2,0.377704
7.3,-0.310585
7.4,-0.241439
7.5,0.114132
7.6,-0.038510
7.7,-0.758261
7.8,-1.197765
7.9,-0.558006
8,0.888618
8.1,1.895276
8.2,1.446139
8.3,-0.173139
8.4,-1.591094
8.5,-1.661967
8.6,-0.527889
8.7,0.639715
8.8,0.888330
8.9,0.373144
9,-0.013310
9.1,0.228494
9.2,0.622879
9.3,0.338226
9.4,-0.715800
9.5,-1.600747
9.6,-1.274556
9.7,0.234398
9.8,1.704015
9.9,1.853210
10,0.589077
10.1,-0.924568
10.2,-1.436655
10.3,-0.786478
10.4,0.108296
10.5,0.351888
10.6,0.010736
10.7,-0.115554
10.8,0.431253
10.9,1.116646
11,0.967840
11.1,-0.257910
11.2,-1.617390
11.3,-1.825791
11.4,-0.566302
11.5,1.121786
11.6,1.820289
11.7,1.081308
11.8,-0.231656
11.9,-0.913649
12,-0.626940
12.1,-0.078415
12.2,-0.061987
12.3,-0.499532
12.4,-0.571451
12.5,0.227077
12.6,1.333964
12.7,1.588409
12.8,0.476472
12.9,-1.196347
13,-1.992713
13.1,-1.230412
13.2,0.360563
13.3,1.387288
13.4,1.153515
13.5,0.220293
13.6,-0.350870
13.7,-0.177632
13.8,0.139094
13.9,-0.134599
14,-0.881209
14.1,-1.174828
14.2,-0.344718
14.3,1.127151
14.4,1.932834
14.5,1.226401
14.6,-0.467863
14.7,-1.711897
14.8,-1.530940
14.9,-0.297815
15,0.756838
15.1,0.834417
15.2,0.274621
15.3,-0.015418
15.4,0.308625
15.5,0.639112
15.6,0.199711
15.7,-0.910963
15.8,-1.647654
15.9,-1.081487
16,0.526721
16.1,1.843162
16.2,1.719378
16.3,0.310842
16.4,-1.102448
16.5,-1.392823
16.6,-0.621251
16.7,0.207209
16.8,0.317874
16.9,-0.048433
17,-0.068700
17.1,0.564075
17.2,1.171418
17.3,0.824693
17.4,-0.515475
17.5,-1.759453
17.6,-1.703027
17.7,-0.270379
17.8,1.338400
17.9,1.786869
18,0.864406
18.1,-0.415065
18.2,-0.923843
18.3,-0.525590
18.4,-0.026945
18.5,-0.121337
18.6,-0.561358
18.7,-0.496975
18.8,0.421918
18.9,1.465148
19,1.491339
19.1,0.195837
19.2,-1.426537
19.3,-1.970675
19.4,-0.983695
19.5,0.606816
19.6,1.435462
19.7,1.015854
19.8,0.075001
19.9,-0.367430
20,-0.109415
20.1,0.145032
20.2,-0.246290
20.3,-0.990707
20.4,-1.117029
20.5,-0.111037
20.6,1.345654
20.7,1.924002
20.8,0.976303
20.9,-0.748615
21,-1.788821
21.1,-1.367910
21.2,-0.073995
21.3,0.843258
21.4,0.760980
21.5,0.185291
21.6,0.002453
21.7,0.389423
21.8,0.631216
21.9,0.039627
22,-1.095293
22.1,-1.654566
22.2,-0.856079
22.3,0.810321
22.4,1.938128
22.5,1.546247
22.6,0.032912
22.7,-1.245386
22.8,-1.316465
22.9,-0.455090
23,0.283049
23.1,0.268796
23.2,-0.096402
23.3,-0.000677
23.4,0.696904
23.5,1.196849
23.6,0.650410
23.7,-0.770671
23.8,-1.861766
23.9,-1.537960
24,0.030881
24.1,1.519203
24.2,1.711442
24.3,0.637155
24.4,-0.573986
24.5,-0.905863
24.6,-0.421749
24.7,0.005170
24.8,-0.192125
24.9,-0.607586
25,-0.395401
25.1,0.621433
25.2,1.565375
25.3,1.353428
25.4,-0.095154
25.5,-1.623719
25.6,-1.623719
